age,Abies,Acer,Alnus,Amaranthaceae,Apiaceae,Aristolochia,Artemisia,Asphodelus,Asteroideae,Berberidaceae,Betula,Boraginaceae,Brassicaceae,Buxus,Campanulaceae,Cardueae,Carpinus,Caryophyllaceae,Castanea,Centaurea,Cichorioideae,Cistaceae,Convolvulaceae,Corydalis,Corylus,Crassulaceae,Cyperaceae,Dipsacoideae,Droseraceae,Ephedra distachya,Ephedra fragilis,Epilobium,Ericaceae,Erodium,Euphorbiaceae,Fabaceae,Fagus,Fraxinus,Galium,Genista,Gentiana,Geraniaceae,Hedera helix,Helianthemum,Ilex aquifolium,Iridaceae,Juglans,Juniperus,Lamiaceae,Lemna,Liliaceae,Linum,Lonicera,Lotus-type,Lythrum,Myrtus,Nymphaea,Olea,Oleaceae,Papaver,Phillyrea,Pinguicula,Pinus,Pistacia,Plantago,Poaceae,Poaceae (Cerealia),Podospora,Polygonaceae,Populus,Potentilla,Primulaceae,Quercus (deciduous),Quercus (evergreen),Quercus faginea,Rhamnus,Ribes,Rosaceae,Rubiaceae,Rumex,Salix,Sambucus,Saxifragaceae,Scrophulariaceae,Sedum,Tamarix,Taxus,Thymelaeaceae,Tilia,Trifolium-type,Ulmus,Urticaceae,Valerianoideae,Viburnum,Viscum album,Vitis,total,Sordaria,Sparganium,Sporormiella,Triletes,Triletes (scabrate),Typha,Selaginella,Orobanchaceae,Osmunda,Asplenium,Botrychium,Isoëtes,Juncus,Monoletes,Monoletes (rugulate),Myriophyllum,Pedicularis,Polypodium,Potamogeton,Ranunculaceae,Ranunculus,Thalictrum
3833.4,2,,,9,,,14,,,,11,,1,2,,,,2,,,,,1,,8,,3,,,,1,,1,,,14,6,,1,2,,,,,,,,9,8,,,,,1,,,,2,2,,,,72,1,3,23,1,,,,,3,8,40,11,,,11,1,1,2,,1,5,,2,,,,,2,11,,,,,298,,,,,,,,,,,,,,1,,4,1,,,1,,
3926.5,3,,1,3,,,8,,,,11,,1,,1,,,,,,3,,,,14,,2,1,,,,,4,,,30,1,,1,3,,,,,,1,,2,12,,2,,,3,,,,,,,,,87,,1,30,,,,,,6,12,25,12,,,2,,2,,,,10,1,1,,,1,1,,7,,2,,,307,,,,,1,,,,,,,,,1,,5,,,3,2,3,2
4019.7,3,,1,5,2,1,7,,5,,19,,2,,,1,,3,,,1,,,,8,,3,,,,,,2,,,36,2,1,,2,,,1,1,,,,5,9,,2,,,3,,,,,1,,,,97,,,17,,,,,,3,10,5,10,,,4,1,1,1,,1,6,1,1,,1,2,1,1,6,,,,,295,,,,,,,,,,,,,,1,,7,,,2,7,2,1
4075.6,3,,,11,2,,10,,1,,24,,,,,,,1,,,,,,,12,,2,,,,,,,,,30,4,1,2,6,,,,,,,,6,,,1,,,6,,,,,,,,,65,,2,35,,,,,,3,14,19,15,,,2,,3,,,,18,,,,,1,2,3,6,,1,,,311,,,,2,,1,,,,,,,1,2,,6,2,,1,1,1,1
4168.7,6,,,4,3,,8,,,1,23,,3,,,,,1,,,1,,,,3,,1,,,,,,3,,1,27,3,,,7,,,,1,,1,,8,8,,2,,,7,,,,,1,,,,68,,1,12,,,,,,3,9,19,12,1,,9,1,,,,,12,1,1,,,1,4,,3,,,,,280,,1,,,,,,,,,,,,1,,3,,,1,10,2,1
4336.2,4,,1,4,3,,8,,1,,34,,2,1,,,,1,,1,,,,,4,,2,,,,,,1,,,44,6,1,,6,,,,1,,,,4,10,,,,,4,,,,,,,,,74,,,9,,,,,,4,12,30,21,,,2,,3,,,1,6,1,3,,,1,,1,1,1,,,,313,,,,,,,,,,,,,,1,,5,,,1,12,3,1
4553.2,5,,,3,3,,8,,2,1,24,,1,,,,,2,,,,,,,4,,,,,,1,,3,,,23,3,,,24,,,,,,,,8,7,,,,,2,,,,,,,,,98,,1,20,,,,,,3,14,9,,,1,3,,1,,,2,16,,,,,,1,,2,,,,,295,,,,,,,,1,,,,1,,2,1,3,,,,10,2,
4661.7,6,,,3,3,,10,,2,,21,1,2,,3,,,,,,2,,,,5,2,1,,,,,,2,,1,21,1,,1,2,,,,1,1,,,5,5,,2,,,2,,,,,,,,,119,,,25,,,,,,1,2,20,11,,,3,1,3,1,,1,9,,1,,,1,1,2,2,,1,,,309,,,,1,1,,,,,1,,,,3,,7,2,,1,2,,1
4770.2,9,,,5,2,,12,,2,,20,1,1,,,,1,2,,,,,,,9,,1,,,,2,,1,,,19,2,1,,2,,,1,,,1,,6,10,,1,,,1,,,,,,,,,148,,,24,,,,,,,7,16,18,,,2,2,1,,,,6,,,,,2,3,,4,,,,,345,,,,,,,,,,2,,,,1,,3,2,,1,1,3,
4987.1,6,,1,1,,,7,,,1,24,,1,1,,,,1,,,,,,,9,,1,,,,,,2,,,37,2,,,1,,,,2,,,,2,6,,,,,2,,,,,,,,,103,,,12,,,,,,3,10,22,29,,,4,1,,1,1,,6,4,1,,,2,2,1,3,,,,,312,,,,,,,,,,,,,,,,4,1,,,6,2,1
