depth,age,acer,alnus,amaranthaceae,apium,artemisia,asteraceae undiff.,berberis,betula,brassicaceae,buxus,caryophyllaceae,castanea,cedrus,centaurea,cistaceae,corylus,cupressaceae,dipsacoideae,ephedra,ericaceae,fabaceae,fraxinus,genista-type,glomus,lamiaceae,liliaceae,lonicera,olea,phillyrea,pinus,pinus pinaster,pistacia,plantago,poaceae,polygonum aviculare-type,quercus (deciduous),quercus (evergreen),rhamnus,riccia,rubiaceae,rumex crispus-type,salix,sordariaceae,thymelaeaceae,typha,urticaceae,vitis,zygnemataceae
123,2764,,,9,,19,28,,1,4,,5,,1,,6,1,6,,1,7,6,,,9,4,,,7,1,67,3,,3,53,5,10,29,1,8,,,,19,,2,,,80
148,3147.6,,,12,6,26,21,,,,,,,,,7,,6,,1,7,3,1,,26,,,,7,2,60,5,,4,39,,17,27,,4,,,4,11,2,9,2,,55
180,3678.9,,4,9,2,23,17,,,,,,2,2,,9,,,3,1,12,3,,,16,8,,,4,2,90,12,2,,44,2,19,29,,2,,,,3,1,2,,,56
215,4342.3,2,,7,1,32,19,,,1,,,,,,,5,,,1,2,2,,,14,3,,,6,,144,5,1,,36,,32,13,,,1,,2,,,,,,32
253,5191.1,,,,2,24,5,,2,,1,,,,,,8,4,,,,2,,,8,4,,,4,,158,6,3,8,30,,32,7,,2,,,1,2,,6,,,31
275,5720.2,3,,4,,19,9,,1,,2,,,,,,2,,,1,,,,,4,1,,,1,,160,12,,2,22,2,41,10,,2,,,4,11,,3,,,18
307,6502.2,1,,,2,10,16,,2,2,1,,,,,1,2,,,,1,1,,,5,1,,1,7,,188,10,1,,23,3,16,6,,1,,,2,7,,,2,,5
350,7662.7,1,2,1,,4,7,,1,,2,,,,2,,4,5,,,5,2,,,7,7,,,4,,218,18,3,4,18,5,23,9,,8,,,,6,,,,,30
47,1197.2,1,1,12,5,30,38,1,,,,5,,,,10,,12,,1,3,4,1,6,125,2,,,14,2,21,3,3,9,107,2,2,24,1,2,,,1,21,5,4,,,33
77,2151.8,,,6,5,26,20,,,,,5,,3,,5,,3,,2,7,3,,5,42,10,1,,6,2,68,7,3,5,65,2,9,41,,3,,,4,7,,6,1,,45
113,2630.8,,,8,3,17,19,,,,,3,,,,6,,1,,1,12,1,2,,27,5,,,5,,68,4,,3,75,,7,29,,5,,,2,8,3,4,,,77
155,3265.7,,,7,5,17,17,,,3,,3,,,,6,,3,,2,4,,,,17,12,,,6,4,99,17,3,2,38,2,19,28,,3,,,2,6,,,1,,32
188,3812.1,,,7,,27,10,,,,,,,,,5,,,,2,4,2,,,17,4,,,7,,117,3,,3,27,,12,18,,4,,,7,,2,2,1,,48
218,4399.9,2,,6,2,19,19,,2,,,,,2,,2,7,,,1,3,,,1,13,,1,2,6,,169,6,1,10,44,,35,18,,2,1,,3,3,2,,,,45
248,5064.2,1,,4,,27,29,,2,,,1,1,4,,,2,3,,2,6,1,,2,4,3,,2,5,1,171,5,2,2,36,2,25,10,,1,,,,,,,,,24
282,5891.2,1,,4,,9,10,,5,,1,,,1,,,1,,,,,2,,,4,2,,,7,,159,10,,2,31,4,27,6,,8,1,,2,1,2,,,,20
310,6578.2,,,3,1,6,12,,2,,2,6,,,,,2,4,,1,6,2,,,7,1,,1,7,,192,19,,,24,3,15,12,,2,,,3,,,,,,22
355,7794.7,,,3,,12,7,,,,2,3,,,,,,,,2,3,1,,,6,6,,3,4,,209,19,,5,15,,15,6,,1,,,,5,,,,,22
52,1386.1,,,9,6,30,19,,,,,4,,,,7,,5,,,8,,,7,118,3,,,6,,31,1,2,10,86,5,7,26,,,4,,,8,2,12,3,2,59
105,2525,,,4,6,15,33,,2,6,,,,,,9,,5,,2,8,3,,2,52,3,,,7,1,50,5,2,5,45,,6,44,,3,,,3,8,3,1,1,,66
131,2873.7,,1,9,5,29,24,,,,,,,,1,9,,4,,2,8,4,,2,21,9,,,4,,60,5,,5,50,5,7,36,,4,2,,3,,2,6,,,91
163,3400.9,,,18,,19,15,,,,,4,,,,6,1,3,,2,6,,,,12,3,,,5,,61,7,5,3,45,1,20,23,,6,,,,11,1,5,1,,49
196,3962,,,8,,19,28,,,2,,2,,,,,2,,,2,5,2,,3,22,1,,,4,,152,4,1,2,30,4,32,6,,1,,,,5,,,,,43
222,4477.9,1,,4,3,15,23,,1,1,,,,1,,,5,,,1,2,2,,2,4,5,,,5,,149,7,,2,41,1,33,9,,6,1,,4,2,1,,3,,70
245,4988,,,15,,23,18,,2,,,,1,,,1,6,,,3,1,3,,,14,3,,1,6,,167,7,1,1,28,,36,15,,2,,,1,,,,,,29
272,5649,,,3,7,15,8,,1,,1,7,,,,,2,3,,,4,4,,1,1,2,,1,8,2,177,18,3,7,25,1,33,13,,1,,,,3,,10,1,,39
304,6423.5,2,,3,,10,29,,1,,3,,,,,,1,3,,,12,,1,,6,2,,,3,,182,13,,1,25,,13,7,,3,,,,,,2,,,50
343,7479.8,,2,2,,7,19,,,,3,,,1,,,2,,,1,2,,1,,1,5,,,7,,231,15,,2,20,1,13,4,,1,,,1,,,,,,9
378,8416.5,2,,1,,7,6,,2,2,3,2,,,,,1,1,,,7,3,,,2,3,,,4,,261,10,3,2,14,2,9,6,,2,,,1,3,1,,,,29
